,game_id,outcomes
1319,8801,LOSS
1320,8802,WIN
1321,8803,WIN
1322,8804,WIN
1323,8805,LOSS
1324,8806,WIN
1325,8807,LOSS
1326,8808,LOSS
1327,8809,LOSS
1328,8810,LOSS
1329,8811,WIN
1330,8812,WIN
1331,8813,LOSS
1332,8814,LOSS
1333,8815,LOSS
1334,8816,LOSS
1335,8817,LOSS
1336,8818,WIN
1337,8819,LOSS
1338,8820,LOSS
1339,8821,WIN
1340,8822,LOSS
1341,8823,WIN
1342,8824,WIN
1343,8825,LOSS
1344,8826,LOSS
1345,8827,LOSS
1346,8828,WIN
1347,8829,WIN
1348,8830,WIN
1349,8831,WIN
1350,8832,WIN
1351,8833,WIN
1352,8834,WIN
1353,8835,WIN
1354,8836,WIN
1355,8837,LOSS
1356,8838,WIN
1357,8839,LOSS
1358,8840,WIN
1359,8841,WIN
1360,8842,WIN
1361,8843,WIN
1362,8844,LOSS
1363,8845,LOSS
1364,8846,LOSS
1365,8847,WIN
1366,8848,WIN
1367,8849,LOSS
1368,8850,WIN
1369,8851,WIN
1370,8852,LOSS
1371,8853,WIN
1372,8854,LOSS
1373,8855,LOSS
1374,8856,WIN
1375,8857,LOSS
1376,8858,WIN
1377,8859,WIN
1378,8860,LOSS
1379,8861,WIN
1380,8862,WIN
1381,8863,WIN
1382,8864,LOSS
1383,8865,WIN
1384,8866,WIN
1385,8867,LOSS
1386,8868,LOSS
1387,8869,WIN
1388,8870,LOSS
1389,8871,WIN
1390,8872,WIN
1391,8873,WIN
1392,8874,LOSS
1393,8875,WIN
1394,8876,WIN
1395,8877,WIN
1396,8878,LOSS
1397,8879,WIN
1398,8880,WIN
1399,8881,LOSS
1400,8882,WIN
1401,8883,WIN
1402,8884,WIN
1403,8885,WIN
1404,8886,LOSS
1405,8887,WIN
1406,8888,WIN
1407,8889,WIN
1408,8890,LOSS
1409,8891,LOSS
1410,8892,LOSS
1411,8893,WIN
1412,8894,LOSS
1413,8895,WIN
1414,8896,WIN
1415,8897,WIN
1416,8898,WIN
1417,8899,LOSS
1418,8900,LOSS
1419,8901,WIN
1420,8902,WIN
1421,8903,WIN
1422,8904,WIN
1423,8905,WIN
1424,8906,WIN
1425,8907,WIN
1426,8908,WIN
1427,8909,LOSS
1428,8910,WIN
1429,8911,LOSS
1430,8912,LOSS
1431,8913,WIN
1432,8914,WIN
